,company,Job
0,L'Oréal,Programa de Pasantías L'Oréal
1,Banco Hipotecario,Analista de Riesgo de Mercado JR
2,La Anónima,Asistente de Administración de Personal
3,Banco Hipotecario,Data Science Jr.
4,Bitali,Programa Jóvenes Profesionales
5,RED BASA,Analista de Recursos Humanos
6,ITBA Universidad,Analista de Tesoreria y Cuentas a Pagar
7,Kavak.com,Finance Analyst | P&L
8,Page Personnel,Programa Jóvenes Profesionales
9,Laboratorio Elea,Analista Contable
10,Kavak.com,Strategy Analyst
11,ITBA Universidad,Analista de control de proyectos
12,Manpower Argentina,Implementador de sistemas Jr/SSr
13,Grupo Abans,Administrativo/a Contable
14,Casin,Casin Argentina - Asistente Jr. Contable
15,Inspired Way,Analista Jr de Marketing Producto - Programa Jovenes Profesionales
16,Inspired Way,Analista Marketing Digital - Programa Jóvenes Profesionales
17,Baires HR,Analista de Riesgos Financieros
18,Bumeran Selecta,Administrativo Contable JR
19,COELSA,ANALISTA DE LIQUIDACIONES
20,Bumeran Selecta,Analista Jr de Egresos e Ingresos
21,Suma 3 Consultores RRHH,Data Analyst
22,RHIS,Analista de Datos para Inteligencia Comercial
23,SLC - Recursos Humanos,Analista de Finanzas
24,Navent,Commercial Planning Analyst Jr
25,GRÚAS SAN BLAS S.A.,Analista financiero
26,Nexo Group,Analista Contable
27,Nexo Group,Analista Contable
28,La Anónima,Pasantías- Ferias de Empresas 2022
29,Reba,Analista de Mesa Financiera
30,Grupo Sottovoce,Analista de Compras Jr.
31,La Casa del Médico,Comprador/a
32,RED BASA,Analista de Reclutamiento y Selección
33,Dafiti Group LATAM,Analista de Planning Junior
34,SCI comunidad,Analista de pago a proveedores Jr.
35,BullMetrix,Jr Paid Media
36,RED BASA,Analista Contable-Impositivo (Contador/a)
37,AP Soluciones en RRHH,Analista de Finanzas SSR
38,Inviu,Middle Office Analyst
39,RED BASA,Analista de Liquidación de Haberes
40,"Cybele Software, Inc.",BI/Data Analyst
41,Grupo Sottovoce,Analista de Compras Jr.
42,IRSA Inversiones y Representaciones S.A.,Analista de Back Office
43,Natura,Analista FP&A LATAM - Natura
44,Montagne,Business Intelligence
45,Danone,Pasantías 2023
46,CHANDON,Pasante de Administración de Ventas y Logística
47,Suma 3 Consultores RRHH,Business Intelligence Analyst
48,Banco Hipotecario,Analista de Presupuesto Ssr.
49,La Casa del Médico,Analista Back Office Comercial
50,Banco Hipotecario,Analista de Presupuesto Ssr.
51,Cencosud S.A.,Gerente de administración y control de gestión supermercados
52,Raízen Argentina,Analista de Planeamiento Financiero
53,Ledesma,Analista de Pagos
54,Bumeran Selecta,Analista Jr de Egresos e Ingresos
55,SINERGIUM Biotech,Analista Comercial
56,EY,Asistente para Consultoría en Mejora de Procesos
57,Banco Patagonia,Analista Riesgo de modelos
58,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Analista Administrativa/o de Operaciones para Empresa
59,Manpower Argentina,Administrativos Jr con Inglés para el área de Finanzas
60,Pomelo,Treasury Analyst
